Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-1245108,Fe,Triclinic,P1,1,100,0.27946,0.27946,FALSE,1164.16871,7.96558,0,FALSE,TRUE,FiM,205.35668,,
mp-1194030,Fe,Tetragonal,P4_2/mnm,136,28,0.17529,0.17529,FALSE,339.73788,7.64271,0,FALSE,TRUE,FM,66.55468,,
mp-1271068,Fe,Tetragonal,I4/mmm,139,4,0.01707,0.01707,FALSE,45.74104,8.10937,0,FALSE,TRUE,FM,8.80976,,
mp-1271128,Fe,Tetragonal,I4/mmm,139,2,0.09913,0.09913,FALSE,21.77396,8.51777,0,FALSE,TRUE,AFM,0.00029,,
mp-1096950,Fe,Hexagonal,P6/mmm,191,1,0.4767,0.4767,FALSE,12.82454,7.23089,0,FALSE,TRUE,FM,2.39526,,
mp-136,Fe,Hexagonal,P6_3/mmc,194,2,0.09781,0.09781,FALSE,19.71414,9.40774,0,FALSE,TRUE,NM,2.00E-05,,
mp-568345,Fe,Cubic,Pm-3m,221,6,0.76141,0.76141,FALSE,81.66128,6.81347,0,FALSE,TRUE,FM,14.42673,,
mp-150,Fe,Cubic,Fm-3m,225,1,0.14836,0.14836,FALSE,12.21233,7.59337,0,FALSE,TRUE,FM,2.84113,,
mp-13,Fe,Cubic,Im-3m,229,2,0,0,TRUE,23.46817,7.90286,0,FALSE,TRUE,FM,5.28989,,
mp-1271198,Fe,Orthorhombic,Cmcm,63,4,0.05499,0.05499,FALSE,48.68822,7.6185,0,FALSE,TRUE,FM,11.21524,,
mp-1244983,FeO,Triclinic,P1,1,80,0.27782,-1.2037,FALSE,1092.63762,4.36743,0.2905,FALSE,FALSE,FM,164.00371,3.572,3.2815
mp-1245001,FeO,Triclinic,P1,1,80,0.32034,-1.16118,FALSE,1093.81946,4.36271,0.0459,FALSE,FALSE,FM,162,3.4174,3.3715
mp-1245168,FeO,Triclinic,P1,1,80,0.30569,-1.17582,FALSE,1149.89135,4.14997,0.0541,FALSE,FALSE,FM,161.99923,2.6987,2.6446
mp-1354450,FeO2,Triclinic,P1,1,36,0.27134,-1.15124,FALSE,447.14902,3.91462,0,FALSE,TRUE,FM,48.00407,,
mp-2051155,FeCl3,Triclinic,P1,1,8,0.05897,-1.10571,FALSE,237.19585,2.27109,1.3509,FALSE,FALSE,FM,10,0.254,-1.0969
mp-645418,FeCl3,Triclinic,P1,1,8,0.14999,-1.01469,FALSE,213.4336,2.52393,0,FALSE,TRUE,FM,9.2591,,
mp-676241,FeCl3,Triclinic,P1,1,8,0.02436,-1.14032,FALSE,244.8141,2.20041,0.6636,FALSE,FALSE,FM,10.00352,-0.4823,-1.1459
mp-1181766,FeO2,Monoclinic,P2/m,10,24,0.1802,-1.24237,FALSE,309.65868,3.76849,0,FALSE,TRUE,FM,31.9993,,
mp-1079939,FeH4,Monoclinic,P2_1/m,11,10,0.38662,0.35971,FALSE,43.61886,4.55893,0,FALSE,TRUE,NM,2.00E-05,,
