gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Lcn2,9.713996666666667,3.7599466666666665,5.9540500000000005,2.7173765865284784e-07,0.006696974597499435
Clec4a1,7.056160000000001,3.46349,3.592670000000001,3.1166711636046274e-05,0.2558303941679293
Il6,6.922246666666666,1.9130066666666667,5.009239999999999,3.689096342437503e-05,0.2558303941679293
Zc3h12c,8.167813333333333,5.874416666666666,2.293396666666667,4.152248231575237e-05,0.2558303941679293
Vrk2,4.930658333333333,4.614263333333334,0.3163949999999991,5.760648881017341e-05,0.2839423833453448
Nfkbia,8.55365,5.98636,2.567289999999999,9.971958207451211e-05,0.40959818337105847
Txnrd1,9.202493333333335,7.342503333333333,1.8599900000000016,0.00012288778451801825,0.41943914222719475
Vnn3,5.8996466666666665,3.2898566666666667,2.60979,0.00013615391104960674,0.41943914222719475
4430402I18Rik,2.5975699999999997,2.11556,0.4820099999999998,0.00017238995312459282,0.4272339261240554
Tbc1d9,5.489283333333333,4.577376666666667,0.911906666666666,0.00017335521449545767,0.4272339261240554
Dnajc10,8.467376666666667,7.96023,0.5071466666666664,0.0002208783580297398,0.48173007768319714
A530098C11Rik,1.9428066666666666,1.6661299999999999,0.2766766666666667,0.00023456120641908565,0.48173007768319714
2810055F11Rik,2.3707100000000003,2.882393333333333,-0.5116833333333326,0.0002812886993006421,0.5332584610972557
AA467197,5.3649933333333335,2.7991499999999996,2.565843333333334,0.0003047846876914559,0.5365299020111379
Dtx2,5.7505033333333335,4.4248666666666665,1.325636666666667,0.0003323169713205147,0.542292128999801
Ttc26,3.5854033333333333,3.0468066666666664,0.5385966666666668,0.00036996565591711927,0.542292128999801
Cxcl10,7.275633333333334,3.1380433333333335,4.137590000000001,0.00040548586923786715,0.542292128999801
Calcrl,7.8596466666666664,6.042050000000001,1.8175966666666659,0.00041792214667479675,0.542292128999801
Cybb,10.934866666666666,9.638276666666668,1.2965899999999984,0.0004265418912707851,0.542292128999801
Bloc1s2,4.036553333333334,3.7706466666666665,0.2659066666666674,0.0004400828800972213,0.542292128999801
Tlr2,5.809670000000001,4.449836666666667,1.3598333333333334,0.00053922700035565,0.6031284983157625
Gbp7,7.495783333333333,3.1061833333333335,4.3896,0.00055403672466349,0.6031284983157625
